epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.0118,1.31217,6.43631,1.4119,0.25922,0.76762,0.32706,0.21044,1.57763,6.73998,2.19467,0.0674125,0.000329167,0.000329167
2,76.5697,1.20483,5.17572,1.36918,0.23322,0.62087,0.32145,0.20651,1.55288,7.34413,2.31192,0.0344103,0.000660314,0.000660314
3,113.989,1.2334,5.04104,1.40985,0.28732,0.73828,0.43464,0.28144,1.44793,6.02075,2.05304,0.00140593,0.000989261,0.000989261
4,151.353,1.165,4.78686,1.35305,0.2707,0.71256,0.3981,0.26185,1.50287,5.58255,2.05326,0.0009901,0.0009901,0.0009901
5,189.831,1.19965,4.80926,1.37802,0.35702,0.77584,0.53007,0.35445,1.42799,4.25321,1.97463,0.0009868,0.0009868,0.0009868
6,226.581,1.14891,4.59683,1.3509,0.32748,0.67261,0.4655,0.31503,1.46137,5.2603,1.93321,0.0009835,0.0009835,0.0009835
7,265.444,1.12827,4.55581,1.34041,0.36054,0.67029,0.49965,0.3363,1.45389,4.64631,1.99062,0.0009802,0.0009802,0.0009802
8,303.085,1.14009,4.50637,1.34178,0.37629,0.69233,0.52048,0.34341,1.39203,4.04076,1.89705,0.0009769,0.0009769,0.0009769
9,339.898,1.10351,4.37442,1.30521,0.39583,0.68941,0.55954,0.37683,1.35895,3.85809,1.85235,0.0009736,0.0009736,0.0009736
10,377.743,1.0782,4.22714,1.3013,0.29228,0.66531,0.44871,0.29795,1.44487,5.06865,1.94265,0.0009703,0.0009703,0.0009703
11,418.526,1.09815,4.25447,1.28936,0.39848,0.75063,0.52502,0.36729,1.32897,4.11541,1.78341,0.000967,0.000967,0.000967
12,457.335,1.07245,4.22895,1.28666,0.40739,0.67938,0.54033,0.37213,1.35325,4.02592,1.82395,0.0009637,0.0009637,0.0009637
13,502.126,1.08796,4.13532,1.30173,0.38295,0.68157,0.51799,0.36156,1.34711,4.96893,1.76659,0.0009604,0.0009604,0.0009604
14,541.668,1.0593,4.10729,1.27946,0.4323,0.67689,0.55885,0.38787,1.31734,4.00827,1.75923,0.0009571,0.0009571,0.0009571
15,578.702,1.05946,4.06332,1.28448,0.45609,0.62343,0.591,0.41827,1.26049,3.86571,1.75128,0.0009538,0.0009538,0.0009538
16,616.215,1.06874,3.99926,1.29183,0.47591,0.67376,0.62078,0.43435,1.30591,3.63037,1.7283,0.0009505,0.0009505,0.0009505
17,653.241,1.05186,3.97877,1.28394,0.46141,0.73182,0.60222,0.42651,1.30623,4.13187,1.72698,0.0009472,0.0009472,0.0009472
18,692.441,1.03396,3.8955,1.26262,0.47981,0.68013,0.61975,0.43926,1.29337,3.41489,1.7377,0.0009439,0.0009439,0.0009439
19,729.208,1.02236,3.77189,1.25699,0.52372,0.68271,0.59914,0.41258,1.35067,3.57763,1.82632,0.0009406,0.0009406,0.0009406
20,765.131,1.02682,3.76288,1.27856,0.45999,0.68508,0.58491,0.41461,1.28659,4.25194,1.75189,0.0009373,0.0009373,0.0009373
21,802.462,1.04005,3.79306,1.2651,0.50238,0.69677,0.6444,0.45842,1.26282,3.42361,1.74811,0.000934,0.000934,0.000934
22,840.049,1.02489,3.66496,1.25504,0.49985,0.67732,0.59143,0.42372,1.24654,3.62082,1.71263,0.0009307,0.0009307,0.0009307
23,877.22,1.02098,3.65019,1.2608,0.48428,0.65216,0.59363,0.41691,1.32915,3.89755,1.80652,0.0009274,0.0009274,0.0009274
24,914.048,1.03993,3.59223,1.26377,0.49568,0.67791,0.55698,0.39774,1.26756,4.7772,1.7291,0.0009241,0.0009241,0.0009241
25,952.624,1.0172,3.59548,1.26107,0.48785,0.62498,0.58345,0.4022,1.26996,4.04709,1.74216,0.0009208,0.0009208,0.0009208
26,991.018,1.02597,3.61162,1.2704,0.49328,0.68961,0.61405,0.43718,1.27568,3.9851,1.74597,0.0009175,0.0009175,0.0009175
27,1028.07,1.02608,3.53743,1.26146,0.5191,0.65898,0.621,0.435,1.30502,3.66816,1.75844,0.0009142,0.0009142,0.0009142
28,1065.17,1.01414,3.40794,1.2424,0.53633,0.64919,0.63608,0.44652,1.33089,3.63531,1.78673,0.0009109,0.0009109,0.0009109
29,1102.49,1.03193,3.49321,1.25857,0.53045,0.67221,0.64285,0.45803,1.23835,3.34315,1.7017,0.0009076,0.0009076,0.0009076
30,1139.32,1.00059,3.41925,1.24392,0.52756,0.60614,0.60942,0.42043,1.38342,3.80889,1.83178,0.0009043,0.0009043,0.0009043
31,1181.86,1.01356,3.44323,1.26249,0.5366,0.66663,0.63228,0.4568,1.24203,3.71717,1.68281,0.000901,0.000901,0.000901
32,1220.59,0.99603,3.34029,1.23571,0.52589,0.63713,0.6292,0.45118,1.20228,3.60963,1.62565,0.0008977,0.0008977,0.0008977
